volatility,max_drawdown,hurst,recovery_time,trend_return,trend_stability,liquidity,gap_frequency,noise_ratio,ticker,improvement,dca_final,va_final,dca_invested,va_invested,pred_improvement,rank
0.35515174808265815,-0.3391351813498457,0.4150918774410899,0.010951403148528405,0.1312512095866448,0.8468008455293713,14.607779282208442,0.12274959083469722,0.9178450108361641,4519.T,0.2666100695306331,8961818.590415953,5704985.578903996,6000000.0,3015551.268887337,0.26627004,★★★★★
0.5564007567383226,-0.5136784134693162,0.4943948727721024,0.2190280629705681,0.5374069989485818,0.8982125641948296,16.13317153655576,0.32978723404255317,0.948034579745024,6857.T,0.9533813050497003,47536684.59389727,28285086.551771004,6000000.0,1827649.2244676845,0.9520216,★★★★★
0.5236242081871496,-0.6515803128696702,0.4821376212753719,0.7939767282683093,0.367879388419465,0.8517528729144885,14.288634937599019,0.2823240589198036,0.9523330317695614,6146.T,0.836959369555271,17279166.858820453,9284306.325030832,6000000.0,1755005.017430606,0.8367073,★★★★★
0.4174557670580791,-0.5216014276573551,0.47653221907725873,0.10130047912388775,0.0297912069270248,0.07479933111440784,14.491435788414314,0.16448445171849427,0.9065885826728798,3659.T,0.1198168124553095,5878451.5341797015,6890464.212211297,6000000.0,6280436.173435074,0.11999591,★★★☆☆
0.3822124466727503,-0.6470743567955878,0.448727798636889,3.0937713894592744,-0.0767024815408421,0.001201021580563233,16.45626651552246,0.1497545008183306,0.9223141361908396,4755.T,0.0722179493504182,6415367.4044971885,6800492.624208591,6000000.0,5931807.077618991,0.07332478,★★☆☆☆
0.5145149219054967,-0.7721994535519126,0.537062921955113,1.541409993155373,-0.06272223906054526,0.0784601337346017,15.250547701178704,0.281505728314239,0.9384481417064182,4385.T,0.12726459542689772,9550825.8724069,10500000.0,6000000.0,5851588.195448817,0.12753947,★★★☆☆
0.4965796015841208,-0.716468620000736,0.46811827608036555,0.2026009582477755,-0.13742968301116276,0.44312964770447305,11.489667073393028,0.2553191489361702,0.927453533411345,3900.T,0.23169779077951588,3724800.5565892756,7177474.402730376,6000000.0,9386760.05902588,0.23095863,★★★★☆
0.34362610854943043,-0.3323488852582501,0.3948158937002779,1.842573579739904,0.14615272928090123,0.817475772271956,15.542376065115333,0.1260229132569558,0.9302345868476406,6702.T,0.1472261028841888,9856244.065371992,6833626.016260163,6000000.0,3626118.4681667723,0.1471537,★★★★☆
0.2931769494064262,-0.3439969055507825,0.39283100120217535,1.0677618069815196,0.08437321910327968,0.3798646741352587,15.468735855797824,0.08019639934533551,0.9156128604848258,4188.T,0.06694133710578527,9182726.791178344,8034523.3424872495,6000000.0,4920385.867967245,0.06505065,★★☆☆☆
0.28123079223565406,-0.25481569220643424,0.41470697855056454,0.31485284052019163,0.17508441283809856,0.7318380318476629,17.224014547899536,0.07774140752864157,0.9178368865147586,5401.T,0.04020660789612715,8865552.04364632,7367231.638418078,6000000.0,4793251.132208458,0.040817566,★☆☆☆☆
0.3120905210415065,-0.34183434584200845,0.40839444869176705,1.6125941136208077,0.10430140655434136,0.6605763444544582,16.514217311355818,0.09492635024549918,0.9165511597614607,7267.T,0.05698733121321597,8077950.9071343085,7458455.445544554,6000000.0,5241181.008271987,0.05743999,★★☆☆☆
0.22396491639493785,-0.26154367190606975,0.36554918600487846,0.6187542778918549,0.05331254787977224,0.41309093567712774,14.67234890568288,0.045008183306055646,0.9341677561242527,9202.T,0.01748714643071473,6831947.699606248,6650894.99907732,6000000.0,5740607.805387423,0.017930524,★☆☆☆☆
